id,user_id,speciality_id,bio,experience,is_featured,hospital_id,photo,created_at,updated_at
11,12,1,Error architecto totam nam vitae temporibus quis natus. Sed rerum qui sed modi temporibus. Nesciunt optio mollitia consequatur ipsa voluptates animi eius.,10,1,11,doctors/avatar001.png,5/14/2025 6:24,5/14/2025 6:24
12,13,2,Impedit quasi minus nam impedit. Nihil libero necessitatibus consequatur voluptas omnis. Voluptatum aut est dolor fugit.,20,1,12,doctors/avatar002.png,5/14/2025 6:24,5/14/2025 6:24
13,14,3,Culpa ea modi consequatur aut. Sequi aliquid rem mollitia. Debitis eligendi iure deserunt aut aut sed voluptatum.,24,1,13,doctors/avatar003.png,5/14/2025 6:24,5/14/2025 6:24
14,15,4,Debitis et et fuga expedita ab ad. Reprehenderit quas nam hic voluptatem libero. Delectus voluptatibus debitis facilis mollitia eum.,14,1,14,doctors/avatar004.png,5/14/2025 6:24,5/14/2025 6:24
15,16,5,Quae qui laudantium rerum. Dicta quas sint natus non atque quasi. Sit repellendus rem officiis quas alias.,10,1,15,doctors/avatar005.png,5/14/2025 6:24,5/14/2025 6:24
16,17,6,Quibusdam doloremque veritatis cupiditate quia cupiditate blanditiis. Voluptas animi modi eum. Voluptatem quibusdam omnis nulla dolorum expedita ut aliquam.,23,1,16,doctors/avatar006.png,5/14/2025 6:24,5/14/2025 6:24
17,18,7,Cupiditate optio earum neque nihil ut maiores corporis. Quis tempora optio animi est reiciendis eum vero. Harum ratione autem quo odit accusamus quas.,21,1,1,doctors/avatar007.png,5/14/2025 6:24,5/14/2025 6:24
18,19,8,Aperiam perferendis aliquam eum aspernatur et rerum. Doloremque similique corporis sequi inventore voluptas dolore.,25,1,2,doctors/avatar008.png,5/14/2025 6:24,5/14/2025 6:24
19,20,9,Consequuntur sed earum quas rerum numquam recusandae et. Commodi vero eius distinctio. Delectus alias accusantium veniam explicabo. Illo quia reiciendis unde delectus laborum.,23,1,3,doctors/avatar009.png,5/14/2025 6:24,5/14/2025 6:24
20,21,10,Aut necessitatibus quidem alias odit molestiae alias. Esse neque sunt ea fugiat mollitia officia esse. Est ut error aut. Id sunt neque eveniet tempora soluta.,30,1,4,doctors/avatar010.png,5/14/2025 6:24,5/14/2025 6:24
21,22,1,Deserunt sint magni eum modi deleniti. Est totam aut recusandae. Voluptas enim magnam occaecati et dignissimos consequatur. Ratione alias delectus sed quam necessitatibus.,18,1,5,doctors/avatar001.png,5/14/2025 6:24,5/14/2025 6:24
22,23,2,Itaque omnis eligendi qui excepturi qui velit aliquid sapiente. Amet aut quaerat aut odio.,14,1,6,doctors/avatar002.png,5/14/2025 6:24,5/14/2025 6:24
23,24,3,Culpa atque et dolor. Sunt omnis facere aut sit.,28,1,7,doctors/avatar003.png,5/14/2025 6:24,5/14/2025 6:24
24,25,4,Atque at enim qui sunt et nesciunt. Vitae voluptates delectus et distinctio. Officia aut quis qui maiores omnis sequi.,16,1,8,doctors/avatar004.png,5/14/2025 6:24,5/14/2025 6:24
25,26,5,Quo quos et nulla est at. Hic molestias voluptate molestiae animi et. Excepturi autem dolores quaerat qui. Esse quisquam nostrum nobis delectus nobis aut.,30,1,9,doctors/avatar005.png,5/14/2025 6:24,5/14/2025 6:24
26,27,6,Eaque occaecati doloribus voluptatem ratione. Temporibus odit molestiae eum fugit et beatae consequatur et. Natus corporis omnis itaque placeat error doloremque quibusdam. Quos error voluptates ad vel corporis ea delectus.,6,1,10,doctors/avatar006.png,5/14/2025 6:24,5/14/2025 6:24
27,28,7,Sequi alias qui excepturi assumenda repudiandae cumque error exercitationem. Suscipit maxime consequatur ratione nesciunt et ducimus ut. Quod accusamus veritatis quisquam harum.,11,1,11,doctors/avatar007.png,5/14/2025 6:24,5/14/2025 6:24
28,29,8,Excepturi maxime aut eius ut quia. Nesciunt doloribus atque magni. Eum qui adipisci eos repellat.,12,1,12,doctors/avatar008.png,5/14/2025 6:24,5/14/2025 6:24
29,30,9,Sed amet amet voluptatum earum cum sint. Deserunt laboriosam provident sit provident perferendis id molestiae.,26,1,13,doctors/avatar009.png,5/14/2025 6:24,5/14/2025 6:24
30,31,10,Id voluptatum asperiores dolores vitae explicabo ut architecto officia. Quia est impedit ipsum soluta nostrum qui. Voluptas dolor asperiores nihil. Enim sunt vel et fugit odio.,5,1,14,doctors/avatar010.png,5/14/2025 6:24,5/14/2025 6:24
